




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (4581)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (expected)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (over/under)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H2AFZ.parathyroid_adenoma.intersect_with_DeepZ.genes_uniq.txt (FDR)
protein folding (GO:0006457)	209	80	46.49	+	1.72	6.16E-05	3.41E-03
methylation (GO:0032259)	306	117	68.06	+	1.72	1.59E-06	1.24E-04
protein localization to nucleus (GO:0034504)	170	65	37.81	+	1.72	3.32E-04	1.50E-02
chromatin organization (GO:0006325)	686	261	152.59	+	1.71	5.30E-13	9.05E-11
positive regulation of cellular amide metabolic process (GO:0034250)	163	62	36.26	+	1.71	4.87E-04	2.08E-02
DNA replication (GO:0006260)	192	73	42.71	+	1.71	1.56E-04	7.73E-03
chromosome organization (GO:0051276)	1021	388	227.10	+	1.71	7.13E-19	2.04E-16
protein modification by small protein removal (GO:0070646)	150	57	33.36	+	1.71	1.04E-03	3.90E-02
protein acylation (GO:0043543)	174	66	38.70	+	1.71	3.80E-04	1.70E-02
cellular macromolecule catabolic process (GO:0044265)	818	310	181.95	+	1.70	3.71E-15	8.21E-13
autophagy (GO:0006914)	272	103	60.50	+	1.70	1.02E-05	6.81E-04
process utilizing autophagic mechanism (GO:0061919)	272	103	60.50	+	1.70	1.02E-05	6.78E-04
cellular macromolecule biosynthetic process (GO:0034645)	1368	518	304.29	+	1.70	6.42E-25	3.15E-22
heterocycle metabolic process (GO:0046483)	2625	990	583.89	+	1.70	1.43E-49	2.04E-46
chromatin assembly or disassembly (GO:0006333)	154	58	34.25	+	1.69	8.97E-04	3.45E-02
cellular response to radiation (GO:0071478)	178	67	39.59	+	1.69	4.34E-04	1.89E-02
macromolecule biosynthetic process (GO:0009059)	1391	523	309.40	+	1.69	1.35E-24	6.41E-22
cellular protein-containing complex assembly (GO:0034622)	780	293	173.50	+	1.69	5.34E-14	1.04E-11
modification-dependent macromolecule catabolic process (GO:0043632)	547	205	121.67	+	1.68	4.84E-10	5.68E-08
regulation of chromosome organization (GO:0033044)	286	107	63.62	+	1.68	8.95E-06	6.09E-04
DNA metabolic process (GO:0006259)	714	267	158.82	+	1.68	1.31E-12	2.06E-10
cellular amide metabolic process (GO:0043603)	780	291	173.50	+	1.68	1.29E-13	2.38E-11
mitotic cell cycle (GO:0000278)	599	223	133.24	+	1.67	1.33E-10	1.74E-08
proteasomal protein catabolic process (GO:0010498)	344	128	76.52	+	1.67	1.30E-06	1.04E-04
cellular nitrogen compound metabolic process (GO:0034641)	3193	1188	710.23	+	1.67	9.16E-59	2.06E-55
ubiquitin-dependent protein catabolic process (GO:0006511)	525	195	116.78	+	1.67	2.46E-09	2.60E-07
cellular aromatic compound metabolic process (GO:0006725)	2688	998	597.90	+	1.67	1.42E-47	1.86E-44
modification-dependent protein catabolic process (GO:0019941)	536	199	119.22	+	1.67	1.92E-09	2.06E-07
Golgi vesicle transport (GO:0048193)	286	106	63.62	+	1.67	1.60E-05	1.01E-03
proteolysis involved in cellular protein catabolic process (GO:0051603)	602	223	133.90	+	1.67	1.94E-10	2.45E-08
negative regulation of cellular catabolic process (GO:0031330)	257	95	57.17	+	1.66	4.92E-05	2.82E-03
cellular protein catabolic process (GO:0044257)	629	232	139.91	+	1.66	1.36E-10	1.76E-08
macromolecule catabolic process (GO:0009057)	909	335	202.19	+	1.66	5.91E-15	1.27E-12
chromatin remodeling (GO:0006338)	247	91	54.94	+	1.66	6.50E-05	3.57E-03
negative regulation of cell cycle (GO:0045786)	345	127	76.74	+	1.65	2.35E-06	1.77E-04
heterocycle biosynthetic process (GO:0018130)	809	297	179.95	+	1.65	3.99E-13	7.04E-11
establishment of protein localization to organelle (GO:0072594)	300	110	66.73	+	1.65	1.38E-05	8.77E-04
protein catabolic process (GO:0030163)	682	250	151.70	+	1.65	3.75E-11	5.08E-09
chromosome segregation (GO:0007059)	281	103	62.50	+	1.65	2.47E-05	1.52E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	306	112	68.06	+	1.65	1.24E-05	7.98E-04
cell division (GO:0051301)	499	182	110.99	+	1.64	2.57E-08	2.35E-06
nucleobase-containing compound biosynthetic process (GO:0034654)	738	269	164.16	+	1.64	1.11E-11	1.56E-09
DNA conformation change (GO:0071103)	269	98	59.83	+	1.64	5.27E-05	2.98E-03
response to endoplasmic reticulum stress (GO:0034976)	217	79	48.27	+	1.64	2.61E-04	1.22E-02
regulation of cellular catabolic process (GO:0031329)	813	295	180.84	+	1.63	1.37E-12	2.14E-10
negative regulation of mitotic cell cycle (GO:0045930)	204	74	45.38	+	1.63	5.42E-04	2.28E-02
mitochondrial transport (GO:0006839)	207	75	46.04	+	1.63	4.49E-04	1.93E-02
negative regulation of cell cycle process (GO:0010948)	254	92	56.50	+	1.63	1.05E-04	5.35E-03
nuclear chromosome segregation (GO:0098813)	221	80	49.16	+	1.63	2.90E-04	1.34E-02
ATP metabolic process (GO:0046034)	202	73	44.93	+	1.62	5.25E-04	2.21E-02
aromatic compound biosynthetic process (GO:0019438)	821	294	182.62	+	1.61	5.08E-12	7.46E-10
organic cyclic compound metabolic process (GO:1901360)	2922	1045	649.95	+	1.61	3.99E-44	4.83E-41
mitotic cell cycle process (GO:1903047)	509	182	113.22	+	1.61	7.70E-08	6.76E-06
negative regulation of cell cycle phase transition (GO:1901988)	207	74	46.04	+	1.61	7.76E-04	3.07E-02
protein localization to organelle (GO:0033365)	640	228	142.36	+	1.60	2.18E-09	2.32E-07
regulation of mitotic cell cycle (GO:0007346)	433	154	96.31	+	1.60	1.00E-06	8.17E-05
regulation of protein ubiquitination (GO:0031396)	211	75	46.93	+	1.60	6.69E-04	2.69E-02
regulation of protein catabolic process (GO:0042176)	398	141	88.53	+	1.59	3.42E-06	2.45E-04
regulation of catabolic process (GO:0009894)	956	337	212.65	+	1.58	5.60E-13	9.47E-11
protein-DNA complex subunit organization (GO:0071824)	208	73	46.27	+	1.58	1.06E-03	3.93E-02
positive regulation of cellular catabolic process (GO:0031331)	425	149	94.53	+	1.58	3.01E-06	2.22E-04
regulation of mitotic cell cycle phase transition (GO:1901990)	277	97	61.61	+	1.57	1.91E-04	9.27E-03
regulation of autophagy (GO:0010506)	317	111	70.51	+	1.57	6.38E-05	3.52E-03
nuclear division (GO:0000280)	304	106	67.62	+	1.57	1.02E-04	5.22E-03
organelle fission (GO:0048285)	329	114	73.18	+	1.56	6.65E-05	3.64E-03
regulation of protein stability (GO:0031647)	306	106	68.06	+	1.56	1.36E-04	6.81E-03
positive regulation of protein catabolic process (GO:0045732)	237	82	52.72	+	1.56	7.55E-04	2.99E-02
intracellular protein transport (GO:0006886)	689	238	153.26	+	1.55	8.92E-09	8.76E-07
negative regulation of catabolic process (GO:0009895)	316	109	70.29	+	1.55	1.33E-04	6.71E-03
positive regulation of catabolic process (GO:0009896)	494	170	109.88	+	1.55	1.52E-06	1.19E-04
protein-containing complex assembly (GO:0065003)	1185	407	263.58	+	1.54	4.38E-14	8.71E-12
organonitrogen compound biosynthetic process (GO:1901566)	1250	429	278.04	+	1.54	8.60E-15	1.80E-12
nucleobase-containing compound catabolic process (GO:0034655)	277	95	61.61	+	1.54	4.08E-04	1.79E-02
regulation of cell cycle (GO:0051726)	1001	343	222.66	+	1.54	6.94E-12	1.01E-09
regulation of cell cycle phase transition (GO:1901987)	366	125	81.41	+	1.54	5.52E-05	3.09E-03
establishment of protein localization (GO:0045184)	1273	434	283.16	+	1.53	1.38E-14	2.82E-12
cellular macromolecule metabolic process (GO:0044260)	4442	1507	988.05	+	1.53	1.51E-56	2.96E-53
protein modification by small protein conjugation or removal (GO:0070647)	849	288	188.85	+	1.53	9.34E-10	1.03E-07
protein transport (GO:0015031)	1183	401	263.14	+	1.52	3.04E-13	5.42E-11
protein-containing complex subunit organization (GO:0043933)	1337	453	297.39	+	1.52	7.08E-15	1.50E-12
energy derivation by oxidation of organic compounds (GO:0015980)	245	83	54.50	+	1.52	1.16E-03	4.24E-02
cellular protein metabolic process (GO:0044267)	3219	1090	716.01	+	1.52	1.14E-37	8.96E-35
organic cyclic compound biosynthetic process (GO:1901362)	948	320	210.87	+	1.52	1.46E-10	1.87E-08
rhythmic process (GO:0048511)	267	90	59.39	+	1.52	8.78E-04	3.39E-02
cell cycle (GO:0007049)	1205	406	268.03	+	1.51	4.60E-13	7.95E-11
peptidyl-amino acid modification (GO:0018193)	851	285	189.29	+	1.51	3.16E-09	3.25E-07
cell cycle process (GO:0022402)	802	268	178.39	+	1.50	1.27E-08	1.19E-06
cellular biosynthetic process (GO:0044249)	2293	766	510.04	+	1.50	6.14E-24	2.84E-21
cellular response to stress (GO:0033554)	1519	507	337.88	+	1.50	1.38E-15	3.15E-13
intracellular transport (GO:0046907)	1247	415	277.37	+	1.50	1.01E-12	1.63E-10
protein modification by small protein conjugation (GO:0032446)	710	235	157.93	+	1.49	1.83E-07	1.56E-05
organic substance biosynthetic process (GO:1901576)	2354	779	523.61	+	1.49	1.80E-23	7.26E-21
regulation of cell cycle process (GO:0010564)	628	207	139.69	+	1.48	1.25E-06	1.01E-04
regulation of DNA metabolic process (GO:0051052)	358	118	79.63	+	1.48	3.05E-04	1.39E-02
biosynthetic process (GO:0009058)	2420	795	538.29	+	1.48	3.32E-23	1.30E-20
macromolecule metabolic process (GO:0043170)	5743	1880	1277.43	+	1.47	5.08E-66	2.00E-62
nitrogen compound metabolic process (GO:0006807)	6360	2050	1414.67	+	1.45	4.79E-70	3.76E-66
organelle organization (GO:0006996)	3360	1081	747.37	+	1.45	7.23E-30	4.21E-27
cellular metabolic process (GO:0044237)	7029	2247	1563.48	+	1.44	6.99E-78	1.10E-73
cellular component biogenesis (GO:0044085)	2481	792	551.86	+	1.44	2.63E-20	8.28E-18
protein ubiquitination (GO:0016567)	661	210	147.03	+	1.43	9.13E-06	6.18E-04
cellular macromolecule localization (GO:0070727)	1386	440	308.29	+	1.43	5.14E-11	6.91E-09
macromolecule modification (GO:0043412)	2825	896	628.37	+	1.43	1.60E-22	5.99E-20
in utero embryonic development (GO:0001701)	367	116	81.63	+	1.42	1.26E-03	4.51E-02
primary metabolic process (GO:0044238)	6869	2160	1527.89	+	1.41	1.29E-67	6.75E-64
cellular protein localization (GO:0034613)	1376	432	306.07	+	1.41	2.77E-10	3.41E-08
protein localization (GO:0008104)	1901	596	422.84	+	1.41	6.12E-14	1.16E-11
protein metabolic process (GO:0019538)	3807	1193	846.80	+	1.41	1.42E-29	7.96E-27
regulation of cellular response to stress (GO:0080135)	637	199	141.69	+	1.40	3.90E-05	2.29E-03
cellular catabolic process (GO:0044248)	1615	502	359.23	+	1.40	2.62E-11	3.64E-09
positive regulation of apoptotic process (GO:0043065)	509	158	113.22	+	1.40	2.98E-04	1.36E-02
cellular protein modification process (GO:0006464)	2610	810	580.55	+	1.40	3.37E-18	8.99E-16
protein modification process (GO:0036211)	2610	810	580.55	+	1.40	3.37E-18	8.84E-16
nitrogen compound transport (GO:0071705)	1578	488	351.00	+	1.39	9.68E-11	1.28E-08
organonitrogen compound catabolic process (GO:1901565)	1029	316	228.88	+	1.38	5.11E-07	4.29E-05
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1547	473	344.10	+	1.37	7.89E-10	8.92E-08
negative regulation of macromolecule biosynthetic process (GO:0010558)	1558	476	346.55	+	1.37	7.39E-10	8.41E-08
organelle localization (GO:0051640)	480	146	106.77	+	1.37	1.12E-03	4.11E-02
establishment of localization in cell (GO:0051649)	1618	492	359.90	+	1.37	6.67E-10	7.65E-08
